antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
herb & pepper,ground beef,0.049460072,0.098253566,0.015997866951073192,0.3234501347708895,3.2919938411349285,1,0.011138238493944044,1.3328602667054752,0.7324602618045816,0.12145748987854252,0.24973380557605593,0.24313619357269034
ground beef,herb & pepper,0.098253566,0.049460072,0.015997866951073192,0.1628222523744912,3.291993841134928,1,0.011138238493944044,1.1354099302156795,0.7720936822393062,0.12145748987854252,0.11926082960183147,0.24313619357269034
"spaghetti, mineral water",ground beef,0.05972537,0.098253566,0.017064391414478068,0.2857142857142857,2.907927893,1,0.011196161,1.2624450073323557,0.6977881752445767,0.12109744560075686,0.20788628875559684,0.22969567745687147
ground beef,"spaghetti, mineral water",0.098253566,0.05972537,0.017064391414478068,0.17367706919945725,2.907927893,1,0.011196161,1.1379021384997599,0.727602011,0.12109744560075686,0.12118980519851537,0.22969567745687147
"spaghetti, mineral water",olive oil,0.05972537,0.065857886,0.010265297960271964,0.171875,2.6097861842105265,1,0.006331911,1.1280206664268664,0.6560071149607517,0.089017341,0.11349141929499072,0.16387272267206476
olive oil,"spaghetti, mineral water",0.065857886,0.05972537,0.010265297960271964,0.15587044534412955,2.6097861842105265,1,0.006331911,1.1138984826004015,0.6603137122617643,0.089017341,0.10225212115784997,0.16387272267206476
tomatoes,frozen vegetables,0.068390881,0.095320624,0.016131183,0.23586744639376217,2.4744639376218323,1,0.009612121,1.1839298977823367,0.6396159650309622,0.1093044263775971,0.15535539572643825,0.2025491078122657
frozen vegetables,tomatoes,0.095320624,0.068390881,0.016131183,0.1692307692307692,2.4744639376218323,1,0.009612121,1.1213813466846394,0.6586555207244862,0.1093044263775971,0.1082427017744705,0.2025491078122657
shrimp,frozen vegetables,0.071457139,0.095320624,0.016664445,0.23320895522388058,2.446573948,1,0.009853106,1.1798251717289276,0.6367666905958362,0.11101243339253997,0.1524167953336764,0.2040170650245277
frozen vegetables,shrimp,0.095320624,0.071457139,0.016664445,0.17482517482517482,2.4465739484396196,1,0.009853106,1.1252680433569309,0.6535632183908046,0.11101243339253997,0.11132284800626507,0.2040170650245277
