support,itemsets,itemset_length
0.23836821757099053,mineral water,1
0.17970937208372217,eggs,1
0.17411011865084655,spaghetti,1
0.1709105452606319,french fries,1
0.1638448206905746,chocolate,1
0.13211571790427942,green tea,1
0.12958272230369283,milk,1
0.098253566,ground beef,1
0.095320624,frozen vegetables,1
0.095053993,pancakes,1
0.087188375,burgers,1
0.081055859,cake,1
0.080389281,cookies,1
0.079322757,escalope,1
0.07652313,low fat yogurt,1
0.071457139,shrimp,1
0.068390881,tomatoes,1
0.065857886,olive oil,1
0.06332489,frozen smoothie,1
0.062524997,turkey,1
0.059992001,chicken,1
0.05972537,"spaghetti, mineral water",2
0.058525529929342755,whole wheat rice,1
0.052659645,"chocolate, mineral water",2
0.052393014,grated cheese,1
0.051059859,cooking oil,1
0.050926543,"eggs, mineral water",2
0.050526596,soup,1
0.049460072,herb & pepper,1
0.047993601,"mineral water, milk",2
0.047460338621517134,honey,1
0.046793761,champagne,1
0.043060925209972005,fresh bread,1
0.042527663,salmon,1
0.040927876283162246,"ground beef, mineral water",2
0.039194774,"chocolate, spaghetti",2
0.039194774,"ground beef, spaghetti",2
0.036528462871617116,"eggs, spaghetti",2
0.036395147313691506,"eggs, french fries",2
0.03572857,"frozen vegetables, mineral water",2
0.035461938,"spaghetti, milk",2
0.034395414,"chocolate, french fries",2
0.033728836,"pancakes, mineral water",2
0.033728836,"french fries, mineral water",2
0.033728836,brownies,1
0.033328889,avocado,1
0.033195574,"chocolate, eggs",2
0.032395681,hot dogs,1
0.032129049,"chocolate, milk",2
0.031862418,cottage cheese,1
0.031062525,"green tea, mineral water",2
0.030795894,"eggs, milk",2
0.030395947207039063,tomato juice,1
0.030129316091187842,butter,1
0.029462738301559793,whole wheat pasta,1
0.028796161,"burgers, eggs",2
0.028529529396080524,"green tea, french fries",2
0.028129582722303693,red wine,1
0.027862951606452472,"frozen vegetables, spaghetti",2
0.027596320490601255,"mineral water, olive oil",2
0.027596320490601255,"french fries, spaghetti",2
0.027463004932675644,"cake, mineral water",2
0.027329689374750034,yogurt cake,1
0.027196373816824423,light mayo,1
0.027063058258898813,energy bar,1
0.026663111585121985,energy drink,1
0.026529796027196375,ham,1
0.026529796027196375,pepper,1
0.026529796027196375,"green tea, spaghetti",2
0.025729902679642713,vegetables mix,1
0.025729902679642713,cereals,1
0.025463271563791495,"green tea, eggs",2
0.025196640447940274,"pancakes, spaghetti",2
0.024396747100386616,"burgers, mineral water",2
0.024396747100386616,"mineral water, tomatoes",2
0.024130115984535395,muffins,1
0.023996800426609784,"low fat yogurt, mineral water",2
0.023730169310758567,"french fries, milk",2
0.023596853752832957,"shrimp, mineral water",2
0.023596853752832957,"frozen vegetables, milk",2
0.023463538194907346,"chocolate, green tea",2
0.023063591521130515,oil,1
0.023063591521130515,"soup, mineral water",2
0.023063591521130515,"chocolate, ground beef",2
0.022930275963204905,"spaghetti, olive oil",2
0.022930275963204905,"frozen vegetables, chocolate",2
0.022796960405279298,"chicken, mineral water",2
0.022530329289428077,french wine,1
0.022263698173576856,fresh tuna,1
0.021997067057725635,"burgers, french fries",2
0.021997067057725635,"ground beef, milk",2
0.021730435941874418,"pancakes, eggs",2
0.021730435941874418,"frozen vegetables, eggs",2
0.021463804826023197,"burgers, spaghetti",2
0.021330489268097587,strawberries,1
0.021197173710171976,"shrimp, spaghetti",2
0.020930542594320756,meatballs,1
0.020930542594320756,"spaghetti, tomatoes",2
0.020397280362618318,almonds,1
0.020263964804692707,"mineral water, frozen smoothie",2
0.020130649246767097,"whole wheat rice, mineral water",2
0.020130649246767097,"cooking oil, mineral water",2
0.020130649246767097,"pancakes, french fries",2
0.019997333688841486,"ground beef, eggs",2
0.019864018,"chocolate, pancakes",2
